origin,age,colour,sex,import_type,season_stakes,total_stakes,no_of_123_starts,no_of_starts_in_past_races,trainer,owner,current_rating,start_of_season_rating,sire,dam,dam_sire
NZ ,4,Bay , Gelding,PPG,"$1,020,000 ","$1,020,000 ",1-1-2-7,1,A T Millard,Lo Man Tuen & Lo Kam Wing,56,52,Power,Court In The Park,Thorn Park
AUS ,4,Bay , Gelding,PPG,"$890,000 ","$1,303,250 ",1-3-2-15,0,C S Shum,Dr Jimmy Wong Chi Ho,56,53,Delago Deluxe,Register,Zeditave
SAF ,5,Bay , Gelding,PP,"$1,175,000 ","$1,428,750 ",1-1-3-16,1,D E Ferraris,Mr & Mrs Pang Ka Yeung,56,60,Master Of My Fate,Americas Cup,Rich Man's Gold
AUS ,5,Bay , Gelding,PP,"$60,000 ","$60,000 ",0-0-0-11,0,K H Ting,Lelia Ho Tze Fun,53,63,Statue Of Liberty,Miss Doopsy,Bite The Bullet
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,T P Yung,"Dr Andrew Yu, Dr Alvin Yu Man Ho & Dr Bernice Yu Man Yan",52,52,Smart Missile,Bondarenko,Pins
NZ ,4,Bay , Gelding,PPG,"$115,000 ","$115,000 ",0-0-1-2,0,C W Chang,The Joy of Giving Syndicate,52,52,Swiss Ace,Bannisters,Redoute's Choice
IRE ,6,Chestnut , Gelding,PP,"$745,000 ","$1,296,190 ",2-0-1-21,2,R Gibson,Ngai Wing Yin,51,56,Dragon Pulse,Clenaghcastle Lady,Acclamation
NZ ,6,Bay , Gelding,PPG,"$1,035,000 ","$4,233,685 ",3-7-6-37,1,K W Lui,Alexander Wong,50,52,Azamour,Love Blooms,Kaapstad
AUS ,10,Chestnut , Gelding,PP,"$427,500 ","$9,071,215 ",5-12-12-91,1,K L Man,Lok Man Chi,48,59,Exceed And Excel,Grilse,Rahy
AUS ,4,Brown , Gelding,PPG,"$988,750 ","$1,291,790 ",1-3-1-23,1,Y S Tsui,Perfect Match Syndicate,42,32,Wandjina,Pacific Belle,Canadian Silver
AUS ,4,Bay , Gelding,PPG,"$235,000 ","$293,020 ",0-1-0-9,1,D J Whyte,Alexander Wong,37,45,Hallowed Crown,Only She Can,Marju
AUS ,5,Chestnut , Gelding,PPG,"$954,000 ","$8,642,700 ",5-1-0-17,1,P F Yiu,Tommy Ching Tsun Wah,112,120,Declaration Of War,Chaleur,Stravinsky
AUS ,5,Brown , Gelding,PPG,"$477,000 ","$6,355,550 ",5-2-2-22,1,K W Lui,Victoriam Syndicate,86,93,I Am Invincible,Quality Impulse,Elusive Quality
AUS ,5,Bay , Gelding,PPG,"$2,424,500 ","$5,643,140 ",4-7-3-22,1,K W Lui,Lam Ting Tak,84,76,Magnus,Captivating Lady,Elvstroem
IRE ,7,Bay , Gelding,PP,"$1,837,500 ","$3,948,300 ",1-7-1-30,2,D J Whyte,Leung Lun Ping,74,69,Elzaam,Instant Memories,Ad Valorem
IRE ,5,Brown , Horse,PP,$0 ,$0 ,0-0-0-5,1,K W Lui,"Mr & Mrs Horatio Ho Yiu Wing, Ho Garrick Sai Man and Ho Leslie Sai Kit",71,80,Moohaajim,Nellie Forbush,Phoenix Reach
AUS ,6,Bay , Gelding,PP,"$850,000 ","$2,606,635 ",3-1-3-30,1,P F Yiu,Yeung Kwong Fat,65,59,Sebring,Aeronwy,Dylan Thomas
NZ ,6,Bay , Gelding,PPG,"$2,052,500 ","$2,275,458 ",3-2-2-18,1,K L Man,Musketeers Fraternity Syndicate,58,37,Ocean Park,Screen Siren,Montjeu
NZ ,5,Brown , Gelding,PPG,"$995,000 ","$2,460,130 ",2-4-2-21,1,K W Lui,"Johnny Ng Sai Chun, Joseph Pang Yuk Wing & Chan Kay Cheung",58,59,O'Reilly,Splitsecond,Pins
NZ ,4,Bay , Gelding,PPG,"$800,000 ","$800,000 ",1-0-2-5,1,P O'Sullivan,"Leung Moon Chuen, Edmond Leung Wai Choi & George Leung Wai Ki",56,52,Sacred Falls,Mill Duckie,Magic Ring
NZ ,3,Bay , Gelding,PPG,"$220,000 ","$220,000 ",0-1-0-1,1,D J Hall,"Chan Wing Kee, Dr John Yeung Ngai Man, Timothy Wan Lap Tsun & The Executors of the Estate of the late Peter Li Chak Ming",54,52,Per Incanto,You Little Ripa,Bachelor Duke
NZ ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-1,1,K W Lui,Lau Ying Kin & Lau Mok Yuen Kee,52,52,Sacred Falls,Vickezzcristal,Big Brown
AUS ,5,Bay , Gelding,PPG,"$780,000 ","$1,389,210 ",2-0-1-15,2,P F Yiu,Johnson Tsang Man Hing,52,47,Mossman,Eve Angelene,Catbird
NZ ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,K L Man,Viva Guy Syndicate,52,52,El Roca,Catalma,Old Deuteronomy
AUS ,5,Brown , Gelding,PPG,"$570,000 ","$1,569,298 ",2-2-3-19,1,P O'Sullivan,"Mr & Mrs Lee Yong Sun, Christabel Lee Shang Yuee and Julian Lee Shang Hsin",51,47,Sebring,Prostar,Starcraft
NZ ,4,Bay , Gelding,PPG,"$115,000 ","$115,000 ",0-0-1-3,0,D J Hall,Wong Wai Hung & Wong Chan Sau King,49,52,So You Think,Sometyne,Thorn Park
AUS ,6,Chestnut , Gelding,PPG,$0 ,"$3,953,324 ",5-4-0-37,1,Y S Tsui,King Syndicate,47,64,Exceed And Excel,Dubai Me Diamonds,Dubawi
AUS ,4,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-3,1,W Y So,Ting Ping Sing & David Ting Chi Ho,46,52,Smart Missile,Quality Impulse,Elusive Quality
GB ,4,Chestnut , Gelding,ISG,$0 ,$0 ,0-0-0-4,1,A S Cruz,Arnaldo Ho Yau Heng,45,52,Farhh,Stoneacre Sarah,Cadeaux Genereux
NZ ,4,Brown , Colt,PPG,"$840,000 ","$840,000 ",1-0-1-13,3,L Ho,Jimmy Chung Kwok Man,43,51,Sacred Falls,Savabeel Star,Savabeel
NZ ,5,Bay , Gelding,PPG,"$440,000 ","$1,803,610 ",2-1-1-26,2,T P Yung,Ching Chi Fai,43,51,Guillotine,Next Century,Stravinsky
AUS ,4,Chestnut , Gelding,PPG,"$146,250 ","$146,250 ",0-0-1-8,1,D J Whyte,WTC Syndicate,39,51,Salade,Lolly Lover,Fusaichi Pegasus
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-6,0,A S Cruz,Yip Yuk Kit,39,52,Deep Field,Crevette,Danehill
NZ ,8,Bay , Gelding,PPG,"$450,000 ","$2,874,460 ",2-6-4-43,0,K W Lui,Alexander Wong,37,37,Per Incanto,Vital Choice,Stratum
AUS ,5,Bay , Gelding,PPG,"$1,942,500 ","$2,361,775 ",3-3-5-30,2,F C Lor,HKUAA Syndicate,35,20,Sebring,Princess Natural,Danehill Dancer
NZ ,6,Bay , Gelding,PPG,"$191,250 ","$1,370,625 ",2-1-2-30,1,C H Yip,Mr & Mrs Chan Chor Lam,33,44,Alamosa,Awesome,High Chaparral
AUS ,4,Bay , Gelding,PPG,"$326,250 ","$326,250 ",0-1-0-14,2,L Ho,Super Guy Syndicate,29,51,Dream Ahead,Uproot,Lonhro
NZ ,5,Bay , Gelding,PPG,"$26,250 ","$26,250 ",0-0-0-13,2,L Ho,Chung Chun Wing,24,42,Lope de Vega,Melodic,Pins
IRE ,6,Bay , Gelding,PP,"$9,106,500 ","$35,922,450 ",7-4-2-19,1,J Size,Jocelyn Siu Yang Hin Ting,125,125,Harbour Watch,London Plane,Danehill Dancer
AUS ,4,Bay , Gelding,PPG,"$5,960,500 ","$8,164,690 ",6-1-0-9,1,R Gibson,Mr & Mrs Michael Cheng Wing On and Jeffrey Cheng Man Cheong,114,79,All Too Hard,Mihiri,More Than Ready
AUS ,7,Bay , Gelding,PP,"$4,211,500 ","$16,476,275 ",7-1-7-33,1,C H Yip,Ideal Brilliance Syndicate,114,115,I Am Invincible,Zebithea,Barathea
NZ ,4,Bay , Gelding,PPG,"$5,398,000 ","$6,775,690 ",6-0-0-9,1,F C Lor,Linda So Hoi Yan,101,72,Deep Field,Markisa,Danehill
NZ ,5,Brown , Gelding,PPG,"$3,407,000 ","$5,969,880 ",5-3-2-14,2,D J Whyte,Mutual Interest Syndicate,100,80,Power,Lilahjay,Tavistock
IRE ,5,Brown , Gelding,PP,"$3,216,000 ","$4,553,625 ",3-2-5-25,2,J Size,The Hon & Mrs Kenneth Lau Ip Keung,87,74,Lawman,Roystonea,Polish Precedent
AUS ,4,Bay , Gelding,PPG,"$3,286,000 ","$4,533,430 ",5-2-1-17,2,F C Lor,"Chan Man Chun, James Mathew Fong, Vincent Wong Ling Sun & Timothy Wong Cheuk Tim",83,60,Your Song,Tonkatsu,Clang
AUS ,4,Bay , Gelding,PPG,"$997,500 ","$5,342,250 ",4-5-2-26,2,C S Shum,Ho Tai Hing,81,87,Holy Roman Emperor,Out Of Egypt,Red Ransom
AUS ,4,Chestnut , Gelding,PP,"$315,000 ","$315,000 ",0-0-1-4,1,F C Lor,Vickay's Buddies Syndicate,80,80,Fighting Sun,Checklist,Reset
AUS ,3,Bay , Gelding,PP,$0 ,$0 ,0-0-0-2,1,Y S Tsui,Exceed Expectations Syndicate,78,80,Written Tycoon,Rationality,Flying Spur
AUS ,3,Bay , Gelding,PPG,"$2,280,000 ","$2,280,000 ",3-0-0-3,1,C S Shum,Ho Tai Hing,78,52,Deep Field,Magical Belle,Blackfriars
AUS ,4,Chestnut , Gelding,PP,"$1,447,500 ","$1,498,250 ",1-1-1-11,1,K W Lui,So Kai Sing,77,75,Shooting To Win,Victory Cry,General Nediym
AUS ,8,Bay , Gelding,PP,"$77,000 ","$6,821,350 ",5-3-2-37,1,C W Chang,Philip Liu Chun Hang & Danny Ng Tsz Lung,75,87,Equiano,Check In Time,Blevic
IRE ,3,Bay , Colt,PP,$0 ,$0 ,0-0-0-0,0,K W Lui,Ho Pui Wai,75,75,Elzaam,Vocal,Singspiel
AUS ,4,Bay , Gelding,PP,"$2,302,500 ","$2,302,500 ",2-1-1-10,1,J Size,Peter Law Kin Sang,74,68,Lord Kanaloa,Bariloche,Deep Impact
AUS ,4,Chestnut , Gelding,PP,"$855,000 ","$855,000 ",1-0-0-4,2,T P Yung,"Vicky Huang Wei, Hung Kam Po & Dr Alan Lee Wai Kin",73,70,Snitzel,Gold Anthem,Made Of Gold
NZ ,5,Bay , Gelding,PPG,"$172,500 ","$2,917,200 ",3-3-1-19,0,T P Yung,Cheng Ying Yim,71,71,Casino Prince,Contented,More Than Ready
FR ,5,Bay , Gelding,PP,"$172,500 ","$2,601,250 ",2-2-1-24,0,P F Yiu,Lam Hiu Ngai,71,79,Reliable Man,Quenching,Street Cry
AUS ,3,Chestnut , Gelding,PP,"$52,500 ","$52,500 ",0-0-0-1,0,C Fownes,"Roger Li Ka Chun, Alfred Choi & Clement Cheng Ka Man",69,69,Time For War,Sunbrella,Peintre Celebre
AUS ,9,Bay , Gelding,PP,"$1,297,500 ","$7,775,605 ",9-3-1-67,2,K W Lui,Here We Are Syndicate,64,57,Churchill Downs,Caralowe,Hennessy
NZ ,5,Bay , Gelding,PPG,"$2,250,000 ","$3,110,630 ",3-4-3-25,2,L Ho,Cheung Ka Wai,64,48,Per Incanto,Lutine Belle,O'Reilly
AUS ,4,Bay , Gelding,PPG,"$382,500 ","$3,258,635 ",2-4-3-18,1,K L Man,Joe Wong Wai Cho,63,76,Declaration Of War,Arms Wide Open,Encosta de Lago
AUS ,4,Bay , Gelding,PPG,"$1,920,000 ","$2,036,040 ",2-2-2-15,0,J Size,Terry Fok Kwong Hang,61,47,Exceed And Excel,Thump,Red Ransom
AUS ,6,Brown , Gelding,PPG,"$685,500 ","$2,381,580 ",3-2-0-24,2,K H Ting,Racing Guru Syndicate,60,61,Duporth,What An Impact,More Than Ready
AUS ,4,Brown , Gelding,PP,"$1,222,500 ","$1,222,500 ",0-5-1-22,1,C Fownes,November Syndicate,59,53,Denman,Ouija,Viscount
NZ ,5,Bay , Gelding,PPG,$0 ,"$814,680 ",1-1-0-8,2,F C Lor,Ip Wai Tung,59,66,Swiss Ace,Diamond Hailey,Zabeel
AUS ,5,Bay , Gelding,PP,$0 ,$0 ,0-0-0-7,0,P O'Sullivan,Lam Wai Ying,56,68,Snitzel,Willow Creek,Tale Of The Cat
AUS ,5,Grey , Gelding,PP,$0 ,"$137,750 ",0-0-0-13,1,P O'Sullivan,Buddies Racing Syndicate,53,60,The Factor,Letmebe,Encosta de Lago
NZ ,3,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-1,0,A S Cruz,Mr & Mrs Lau Ying Wah,52,52,Iffraaj,Miss Percy,Sir Percy
NZ ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-1,0,C Fownes,"Michael Lam King Poy, Ernest Lam Jen Ho & Christopher Lam Jen Toa",52,52,Swiss Ace,Kilderry,Mossman
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,K L Man,Maria Teresa Chu,52,52,So You Think,Blowin In The Wind,Danehill
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,K H Ting,Thomas Cheung Wui,52,52,Delago Deluxe,Avail,Exceed And Excel
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,K W Lui,American Club Racing Syndicate,52,52,Sizzling,Stylized,Anabaa
NZ ,4,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,P F Yiu,Choi Lung Wai,52,52,Ferlax,Zaire,Zabeel
AUS ,3,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,D A Hayes,"Dr Steven Li Siu Lung, Cheng Lap Yin, Paul Cheng Lap Tak & Ken Chan",52,52,Smart Missile,Classic Model,Fusaichi Pegasus
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,K W Lui,Martha So Lai Ching,52,52,Dawn Approach,Transcending,Invincible Spirit
AUS ,5,Chestnut , Gelding,PPG,"$1,490,000 ","$1,490,000 ",1-4-1-13,1,W Y So,Lai Wai Chi,50,36,Testa Rossa,Fragrant Storm,Exceed And Excel
AUS ,3,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-2,0,P O'Sullivan,Wilfred Ng,50,52,Not A Single Doubt,Rahy Storm,Rahy
AUS ,4,Bay , Gelding,PPG,"$535,000 ","$535,000 ",0-2-0-9,2,K H Ting,"Sio Kam Seng, Jacky Sung Hok Chun, Vincent Ng Wai Ming & Louis Tang Kwok Leung",48,52,Hinchinbrook,Smart One,Bernardini
AUS ,6,Bay , Gelding,PP,"$105,000 ","$105,000 ",0-0-0-12,1,P O'Sullivan,Friends of Liverpool Syndicate,48,57,Casino Prince,Military Gal,General Nediym
IRE ,4,Bay , Gelding,ISG,"$175,000 ","$175,000 ",0-0-1-6,2,K W Lui,Patrick Fu Kor Kuen,47,52,Holy Roman Emperor,Icebreaking,Elusive City
NZ ,5,Brown , Gelding,PPG,"$1,150,000 ","$1,911,975 ",2-2-4-30,2,P F Yiu,Specific Syndicate,44,39,Showcasing,Abenroad,Danroad
AUS ,4,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-4,0,W Y So,The Youth Syndicate,40,47,Dawn Approach,Montelimar,Fusaichi Pegasus
AUS ,5,Bay , Gelding,PPG,"$385,000 ","$994,210 ",0-3-2-21,2,F C Lor,Top Maestro Syndicate,40,51,Ambidexter,Belle d'Orleans,General Nediym
AUS ,5,Bay , Gelding,ISG,"$907,500 ","$907,500 ",2-0-0-15,0,L Ho,Super Friend Syndicate,38,34,Pierro,Nataya Rose,Canny Lad
NZ ,4,Chestnut , Gelding,PPG,"$60,000 ","$171,205 ",0-0-1-10,1,P O'Sullivan,Louisa Tse,37,49,Swiss Ace,Kahala,Captain Rio
AUS ,5,Bay , Gelding,PPG,$0 ,"$58,020 ",0-0-0-7,1,D J Whyte,Wayfoong Syndicate,36,45,All American,Star Logie,Starcraft
NZ ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-5,0,Y S Tsui,Waylee Syndicate,35,51,Atlante,Shades Of Silk,Thunder Gulch
AUS ,5,Bay , Gelding,PPG,"$60,000 ","$806,295 ",1-0-2-21,1,K H Ting,Wonder Express Syndicate,35,43,Pierro,Choice Words,Choisir
NZ ,5,Bay , Gelding,PP,$0 ,$0 ,0-0-0-12,2,K H Ting,Lau Fu Wing,33,61,Thewayyouare,Tesoro,Prized
FR ,5,Bay , Gelding,ISG,"$357,500 ","$357,500 ",0-1-1-14,3,W Y So,Mr & Mrs Vincent To Wai Keung and Kenneth To Kin Ting,32,43,Frankel,Noelani,Indian Ridge
IRE ,7,Bay , Gelding,PP,"$86,250 ","$1,866,600 ",3-3-1-41,0,W Y So,Snow White Syndicate,29,37,Approve,Cuilaphuca,Danetime
NZ ,5,Bay , Gelding,PPG,"$71,250 ","$225,955 ",0-0-1-16,0,W Y So,Frederick Ma Si Hang & Eric Tsang Chi Wai,26,37,All Too Hard,Zuzela,Redoute's Choice
NZ ,5,Bay , Gelding,ISG,"$191,250 ","$387,068 ",0-1-2-14,0,C Fownes,Derek Tam Lap Tak,24,41,Darci Brahma,Myback,Dubawi
NZ ,5,Bay , Gelding,PPG,"$191,250 ","$434,125 ",0-2-1-18,0,K L Man,"Jerry Tsang Kwok Hung, Carollio Chow Kin Wing, Raymond Cheng Shu Shing & The Executors of the Estate of the late Peter Leung Ching Wah",20,25,Darci Brahma,Just A Dream,Volksraad
NZ ,5,Bay , Gelding,PPG,"$131,250 ","$751,125 ",1-0-1-24,1,R Gibson,Timmy Wong Ka Kit,16,22,Ocean Park,Spiriting,Montjeu
NZ ,5,Brown , Gelding,PPG,"$26,250 ","$51,625 ",0-0-0-17,1,K L Man,Wellander Friends Syndicate,15,21,Ferlax,Gondola Girl,Thorn Park
IRE ,7,Bay , Gelding,PP,"$1,380,000 ","$3,904,650 ",2-3-5-35,0,D E Ferraris,Koo Ming Kown,68,70,Azamour,Hassaya,King's Best
GB ,6,Bay , Gelding,PP,"$142,500 ","$388,200 ",0-0-1-11,2,F C Lor,Yoshifumi Naito,65,68,Sixties Icon,La Gifted,Fraam
AUS ,5,Bay , Gelding,PPG,"$52,500 ","$1,512,670 ",2-1-1-16,2,D J Whyte,Jeffrey Kwan Teng Hin,51,64,Equiano,Eternal Circle,Fastnet Rock
AUS ,5,Bay , Gelding,PPG,"$86,250 ","$86,250 ",0-0-1-11,1,K L Man,Koo Ming Kown,28,36,All Too Hard,Electrical,Redoute's Choice
AUS ,5,Chestnut , Gelding,PP,$0 ,"$3,304,600 ",2-0-2-9,0,W Y So,Choi Hiu Fung & Choi Yu So Fong,89,91,Sebring,Dama de Noche,Snippets
GB ,7,Bay , Gelding,PP,"$855,000 ","$4,881,950 ",4-1-6-27,2,C S Shum,HKJC Racing Club Limited,82,82,Exceed And Excel,Ivory Gala,Galileo
SAF ,5,Bay , Gelding,PP,$0 ,"$485,750 ",0-1-1-6,0,K H Ting,Yoo Yoo Syndicate,77,77,Gimmethegreenlight,Cruise Collection,Model Man
IRE ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-3,1,A S Cruz,Beauty Family Syndicate,76,80,Anjaal,Generous Gesture,Fasliyev
GB ,4,Chestnut , Gelding,PP,$0 ,$0 ,0-0-0-3,0,D J Hall,HKJC Racing Club Limited,67,72,Garswood,Regal Riband,Fantastic Light
IRE ,5,Bay , Gelding,PP,$0 ,$0 ,0-0-0-4,0,T P Yung,HKJC Racing Club Limited,62,64,Kodiac,Pale Orchid,Invincible Spirit
IRE ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,D J Hall,Christopher Carson Yum,52,52,Teofilo,Yes Oh Yes,Gone West
AUS ,5,Brown , Gelding,PPG,"$978,750 ","$1,062,125 ",1-2-2-17,1,T P Yung,Michael Yeung Wah Keung,46,38,I Am Invincible,Masonette,Grand Lodge
AUS ,4,Bay , Gelding,PPG,"$120,000 ","$120,000 ",0-0-0-5,0,D J Hall,Choi Hiu Fung,45,52,Animal Kingdom,Defender,Redoute's Choice
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-4,0,W Y So,HKJC Racing Club Limited,45,52,Smart Missile,Above Perfection,Encosta de Lago
NZ ,9,Grey , Gelding,PP,"$472,500 ","$2,606,000 ",4-1-3-34,0,T P Yung,Chen Bao Lin & Yang Yan,35,31,Mastercraftsman,Staryn Glenn,Montjeu
GB ,6,Bay , Gelding,ISG,"$26,250 ","$1,032,725 ",2-0-1-24,1,C S Shum,Choi Hiu Fung,32,37,Acclamation,Melbourne Memories,Sleeping Indian
NZ ,6,Bay , Gelding,PPG,"$172,500 ","$1,258,900 ",1-2-4-38,1,D E Ferraris,HKJC Racing Club Limited,17,21,Niagara,Divine Miss Em,Traditionally
NZ ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,C Fownes,Vision Syndicate,87,87,Savabeel,Polish Princess,Polish Precedent
GB ,4,Bay , Gelding,PPG,"$1,020,000 ","$1,020,000 ",1-1-2-5,2,J Size,Lincoln Ling,59,52,Holy Roman Emperor,Marasima,Barathea
IRE ,6,Brown , Gelding,PP,"$650,000 ","$2,307,935 ",1-4-3-29,1,W Y So,Zhan Jiang Syndicate,57,58,Big Bad Bob,Rupa,Acclamation
AUS ,3,Grey , Gelding,PPG,$0 ,$0 ,0-0-0-2,2,C W Chang,Stanley Choy Ka Man,49,52,The Factor,Dollars Not Sense,Onemorenomore
AUS ,4,Bay , Gelding,PPG,"$35,000 ","$35,000 ",0-0-0-5,1,A T Millard,Hugo Hui Kwan Wah,43,52,Albrecht,Snaffles,Librettist
